Venue Name,Status,Location,Venue Type,Booking Season,Link,Genre,PA,Rate,Notes,Contact Person,Phone,Email,Next Follow-up Date,Preferred Method
Ann Arbor Art Fair,Lead,"Ann Arbor, MI",,Jan,https://www.theannarborartfair.com/apply,All,Yes,,Sent Abby an email on 11/29/25 asking about application process. Unsure if Artist Application is required (and those cost $).,abby@theguild.org,,,,
Ann Arbor Summer Festival (A2SF),Applied (Festival),"Ann Arbor, MI",Festival,Nov,https://www.a2sf.org/,All,Yes,,"Applied 11/29/25 for Rackham Stage & ""Live Here Now"" concert series. Expect contact in Dec/Jan for booking details. Program announced May 1.",carter@a2sf.org,,,,
Art & Apples Festival,Applied (Festival),"Rochester, MI",Festival,May,https://pccart.org/festival/entertainment/,,,,Applied 11/29/25. Selection status will be given in May.,,,,,
"Arts, Beats & Eats (Royal Oak, MI)",Applied (Festival),"Royal Oak, MI",Festival,Dec,Website,,,,Applied 11/29/25,jaimew@artsbeatseats.com,,,,
Berkley Art Bash,Lead,"Berkley, MI",Festival,,https://www.berkleyartbash.com/,,,,,,,,,
"Black Swamp Arts Festival (Bowling Green, OH)",Lead,"Bowling Green, OH",Festival,Feb,Website,,,,Emailed application 11/30/2025,blackswampartsmusic@gmail.com,,,,
"Brews, Brats, and Bands (August)",Lead,"Canton, MI",Festival,,Website,,,,Shelley's small band played here 2015-2019,,,,,
Clamdiggers,Follow-up Needed,"Monroe, MI",Outdoor Bar,,,All,No,$500/night,,,,,,
Clawson Fall Festival,Lead,"Clawson, MI",Festival,,https://www.cityofclawson.com/,,,,,,,,,
Club Canton,Follow-up Needed,"Canton, MI",Indoor Bar,,,,,$800/night,,Emmet,734-722-0722,,,Phone
Crystal Bar & Grill,Contacted,"Westland, MI",Indoor Bar,Year-round,,Rock,,,,,,,,Facebook
Detroit Bourbon and Brews (10/25/25),Lead,"Royal Oak, MI",Festival,,Eventbrite,,,,,,,,,
Detroit Bourbon Fest (10/18/25),Lead,"Detroit, MI",Festival,,Website,,,,,,,hello@detroitbourbonfest.com,,
Detroit Harvest Fest & Food Truck Rally,Lead,"Detroit, MI",Festival,,https://www.detroitharvestfest.com/,,,,,,,,,
Detroit Tree Lighting & Light Up Beacon Park,Lead,"Detroit, MI",Festival,,https://downtowndetroit.org/,,,,,,,,,
Detroit Yacht Club,Follow-up Needed,"Detroit, MI",Outdoor Bar,,,All,No,,,,,,,
Dossin After Dark - ,Lead,"Detroit, MI",,,,,,,,,,,,
Downtown Plymouth - Bank of Ann Arbor Music in the Air series,Lead,"Plymouth, MI",,,Website,,,,Ones and Twos played in Summer 2025,,,dda@plymouthmi.gov,,
Eastern Market Events,Lead,"Detroit, MI",,,,,,,,,,,,
Farmington Founders Festival,Lead,"Farmington, MI",,,https://360eventproductions.com/farmington-founders-festival-talent-showcase-signup/,,,,,,,,,
FEDCO,Past Client,"Monroe, MI",,,,,,,,,,,,
Fraternity Function,Rejected,Ann Arbor,Private Club,,,Unknown,No,,,Owen Taylor,914-319-8200,owentayl@umich.edu,,
"German-American Festival (Oregon/Toledo, OH)",Lead,,Festival,,,,,,,,,,,
Graduation Party (Lester's lead),Booked,,Private Club,,,,,$250/hr,,,,,,
Hazel Park Art Fair,Lead,"Hazel Park, MI",,,https://www.hpart.org/aboutthefair,,,,,,,,,
Holiday Nights at Greenfield Village,Lead,"Dearborn, MI",Festival,,https://www.thehenryford.org/current-events/calendar/holiday-nights/,,,,,,,,,
Hamtramck Blowout,Applied (Festival),"Hamtramck, MI",,,https://docs.google.com/.../1FAIpQLSdexWSFEpQ.../viewform...,,,,,,,,,
Hamtramck Labor Day Festival,Lead,"Hamtramck, MI",Festival,,https://hamtownfest.com/,,,,,,,,,
Hell Saloon,Booked,"Hell, MI",,,,Rock,,$600/night,,,,,,
Luna Pier Beach Café,In Discussion,"Luna Pier, MI",Outdoor Bar,,,Country,,,,,,,,Facebook
Maumee Bay Brewing Company,Lead,"Toledo, OH",Indoor Bar,,Website,Unknown,,,,,,,,
Mayfly Music Festival,Follow-up Needed,"Dundee, MI",Festival,,,,Yes,,,,,,,
Motor City Pride,Lead,"Detroit, MI",,,https://motorcitypride.org/,,,,,,,,,
Michigan Rib Fest,Lead,"Royal Oak, MI",Festival,,https://michiganribfest.com/,,,,,,,,,
"Milford Memories (Milford, MI)",Lead,,Festival,,Website,,,,,,,,,
Noel Night,Lead,"Detroit, MI",Festival,,https://www.ccsdetroit.edu/noel-night/,,,,,,,,,
"Old West End Festival (Toledo, OH)",Lead,,Festival,,,,,,,,,,,
Original Gravity,Follow-up Needed,"Milan, MI",Outdoor Bar,Jan,,All,No,$400/night,Brad is the owner. Booking through Email and SignUpGenius. Only books bands one gig per year. ,Brad Sancho,734-646-0749,brad@ogbrewing.com,,Email
Pig n Swig,Lead,,Festival,,,,,,,,,,,
Pour House,Lead,,,,Facebook Page,,,,,,,,,
Pure Spirits Tasting (April 2026?),Lead,Detroit,,,Website,,,,Booked Cosmic Groove in 2025,,,,,
Plymouth Ice Festival,Lead,"Plymouth, MI",Festival,,https://www.plymouthicefestival.com/,,,,,,,,,
Revel Run,Lead,Chelsea,,,,,,,,,,,,
RiverBillies,Booked,"Gibraltar, MI",Indoor Bar,Year-round,,Country,Yes,$750/night,Kevin is a co-owner,Kevin Lizyness,313-608-2292,,,Phone
Rivertown Tavern,Past Client,"Trenton, MI",Indoor Bar,,,Acoustic,No,,,,,,,
Rochester Heritage Festival,Lead,"Rochester, MI",Festival,,https://www.downtownrochestermi.com/,,,,,,,,,
Romulus Pumpkin Festival,Past Client,"Romulus, MI",Festival,Jan,,All,Yes,,,Jerry Frayer,,jfrayer@romulusgov.com,,Email
Royal Oak Taco Fest,Lead,"Royal Oak, MI",Festival,,https://www.royaloaktacofest.com/live-music,,,,,,,,,
Royal Oak Winter Festival,Lead,"Royal Oak, MI",,,,,,,,,,,,
St. Patrick's Day Parade & Corktown Fest,Lead,"Detroit, MI",Festival,,https://www.detroitstpatricksparade.com/,,,,,,,,,
Sterlingfest Art & Music Fair,Lead,"Sterling Heights, MI",Festival,,https://www.sterling-heights.net/1026/Sterlingfest,,,,,,,,,
