Date,Venue Name,Method,Member,Summary
5/29/2024,Luna Pier Beach Café,Facebook,,No response
5/29/2024,Verna's Bar & Grill,Facebook,,No response
5/30/2024,Greenback's Pub,Facebook,,
10/5/2025,Fraternity Function,Email,Tom,No response
12/19/2025,Crystal Bar & Grill,Facebook,Lester,No response
12/19/2025,Venture Brewing,Facebook,Lester,
12/19/2025,Elba-Mar Boat Club,Facebook,Lester,
12/19/2025,Detroit Yacht Club,Facebook,Lester,
12/19/2025,Bier Stube Bar & Grill,Facebook,Lester,
12/19/2025,Luna Pier Beach Café,Facebook,Lester,
12/19/2025,Round House Bar,Facebook,Lester,
12/19/2025,Glenn Shannon,Facebook,Lester,
12/19/2025,Michigan Wine and Beer Portal,Facebook,Lester,
12/19/2025,The Grumpy Goat Brewing Co,Facebook,Lester,
12/22/2025,Maumee Bay Brewing Company,Email,Tom,
1/6/2026,"Wyandotte Street Art Fair (Wyandotte, MI)",Email,Anthony,events@wyan.org
1/6/2026,Wyandotte Beer Fest,Email,Anthony,events@wyan.org
1/6/2026,Pour House,Email,Anthony,thepourhouse2075@gmail.com
1/6/2026,"Uncle Sam Jam (Woodhaven, MI)",Webpage,Anthony,Web-app --  https://www.uncle-sam-jam.com/
1/19/2026,Livonia parks and rec,Facebook,Anthony,Public application submission. Artist submissions requested through Facebook post.
1/19/2026,Belleville Bait Shop,Webpage,Anthony,"Reached out through ""Contact Us"" "
1/19/2026,One Under Bar,Email,Anthony,oneunderbanquets@gmail.com
1/19/2026,Chatters Bar,Email,Anthony,chatters7640@hotmail.com
1/19/2026,Club Canton (again),Email,Anthony,ClubCantonBar@gmail.com
1/19/2026,Downtown Pourhouse,Email,Anthony,thegoat@dtpourhouse.com
2/1/2026,Sunday Social (Wyandotte),Facebook,Tom,Rebecca messaged ultra FB to ask us to apply. Applied same day on their website and responded to Rebecca
2/4/2026,Mid Michigan Bridal Expo,Email,Tom,Emailed to inquire on event pricing for Feb 22 Bridal expo
